publishedAt,authorDisplayName,textDisplay,likeCount
2023-01-02T03:31:17Z,Andhika Adi Nugraha,kok kalau foto better 13 pro max ya ketimbang yg 14 pro max nya,0
2023-01-03T12:05:11Z,ok ngab,iya kan? lebih cerah hasilnya,0
2022-12-31T14:40:54Z,rani Agustin,Auto buy,0
2022-12-31T13:45:20Z,Seli Sela,Harganya berapa nya,0
2022-12-31T07:53:53Z,INDO_OFICIAL,Ada ram nya ga iya,0
2022-12-31T07:48:47Z,INDO_OFICIAL,Oppo a3s ku ada mirip&quot; nya 😊,0
2022-12-31T05:57:31Z,Muh Jafar,Skrng iPhone 14 pro di Indonesia lagi kosong ya...?,0
2023-01-02T13:55:14Z,eb 1,Hampir dimana2 kosong sih gara2 foxconn di taiwan kena lockdown kopid,0
2022-12-30T06:44:15Z,Dimas Nugraha,"Bg org awan mau tanya, soalnya mau pindah ke ios, ada penjual IP second 13 Pro Max mengaku produknya ori ibox, saya berniat mau membelinya ttp sedikit ragu karna dibagian belakang casing badian bawah tertulis made in china selama ini blom pernah liat ada yg seperti itu.",0
2023-01-02T13:56:36Z,eb 1,Setauku sejak ipon 12 ada tulisannya gitu di belakang bagian bawah,0
2022-12-30T06:15:57Z,Dennis Fingo,❤️❤️❤️,0
2022-12-29T15:04:48Z,Nurapipa Salma,❤❤❤,0
2022-12-29T06:20:25Z,Moh. Riskal,Cek harga online berapa ya,0
2022-12-29T01:09:40Z,Aldi Alamsyah,Semoga aja xiaomi sigap geraknya,0
2022-12-28T16:13:53Z,Shaqueena Chanel,Aku siap nerima sisa barang reviewnya ini bang davied🥲🥲🤭,7
2023-01-04T04:34:59Z,ALVIN,Aku ga,0
2022-12-28T11:49:23Z,BERITA BOLA,"Apple punya inovasi dylan, ntar android pasti buat inovasi milea<br>Wkwkkwkw",0
2022-12-28T10:53:18Z,Raffi_arp,Plisss bang bagi aku iPhone 14 plisss wkwkjwksj,1
2022-12-28T10:28:44Z,Hamid Junaidi,Terima kasih reviewnya bang,0
2022-12-28T08:02:34Z,EDO OFFICIAL,Bawa iPhone 14 harus hati hati sekali jatuh uh serangan jantung🗿🗿,0
2022-12-28T06:19:27Z,fαииу αтïç,dyland bilek; kamu mujiiii :v,0
2022-12-27T14:19:43Z,Key Chea,Sy kurang suka sm desain tompel ini. Kesannya gmn gt?<br>Sy lbh suka desain poninya. Iphone banget.,0
2022-12-26T15:04:25Z,Hasbi Aldivia,Nitip pesan&quot; buat pejuang nabung..mulai dri awal bulan untuk  tahun depan ini semangat ya nabungnya..semoga 2024 bisa kebeli..dikit&quot; pasti bisa 😁,0
